bfvd_entry	accession	virus_taxid	virus_name	host_taxid	host_name	host_bucket
A0A6M3H3M7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A6M3H3M7	2713217	Salmonella phage vB_SenS-3	562	Escherichia coli	bacteria
A0A6M3H3P0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A6M3H3P0	2713217	Salmonella phage vB_SenS-3	562	Escherichia coli	bacteria
A0A6M3H3Q7_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A6M3H3Q7	2713217	Salmonella phage vB_SenS-3	562	Escherichia coli	bacteria
A0A6M3H3Y4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A6M3H3Y4	2713217	Salmonella phage vB_SenS-3	562	Escherichia coli	bacteria
A0A6M3H6N5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A6M3H6N5	2713217	Salmonella phage vB_SenS-3	562	Escherichia coli	bacteria
A0A7D7JVR3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7D7JVR3	2744001	Escherichia phage CJ20	562	Escherichia coli	bacteria
A0A7D7JVT5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb	A0A7D7JVT5	2744001	Escherichia phage CJ20	562	Escherichia coli	bacteria
A0A7D7JVT8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7D7JVT8	2744001	Escherichia phage CJ20	562	Escherichia coli	bacteria
A0A7D7JVV0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb	A0A7D7JVV0	2744001	Escherichia phage CJ20	562	Escherichia coli	bacteria
A0A7D5FPH7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A7D5FPH7	2743969	Escherichia phage vB_EcoD_SU57	562	Escherichia coli	bacteria
A0A8F3HKK5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb	A0A8F3HKK5	2810370	Escherichia phage vB_EcoP-ZQ2	562	Escherichia coli	bacteria
