3342181	Archaea	Candidatus Korarchaeales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Candidatus Korarchaeia;Candidatus Korarchaeales
2804309	Archaea	Candidatus Lunaplasmatales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Lunaplasmatales
3345204	Archaea	Candidatus Lutacidiplasmatales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Lutacidiplasmatales
3133201	Archaea	Candidatus Methanofastidiosales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Candidatus Methanofastidiosia;Candidatus Methanofastidiosales
3127020	Archaea	Candidatus Methanoflorentales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Candidatus Methanoflorentales
2545689	Archaea	Candidatus Methanoliparales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Candidatus Methanoliparia;Candidatus Methanoliparales
1915414	Archaea	Candidatus Methanomethylicales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Methanosuratincolia;Candidatus Methanomethylicales
588814	Archaea	Candidatus Methanophagales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Candidatus Methanophagales
2885734	Archaea	Candidatus Micrarchaeales	cellular organisms;Archaea;Nanobdellati;Microcaldota;Candidatus Micrarchaeia;Candidatus Micrarchaeales
3072935	Archaea	Candidatus Mnemosynellales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Archaeoglobi;Candidatus Mnemosynellales
2821825	Archaea	Candidatus Naiadarchaeales	cellular organisms;Archaea;Nanobdellati;Candidatus Undinarchaeota;Candidatus Undinarchaeia;Candidatus Naiadarchaeales
2856053	Archaea	Candidatus Nanohalobiales	cellular organisms;Archaea;Nanobdellati;Candidatus Nanohalarchaeota;Candidatus Nanohalobia;Candidatus Nanohalobiales
2913913	Archaea	Candidatus Nezhaarchaeales	cellular organisms;Archaea;Thermoproteati;Candidatus Nezhaarchaeota;Candidatus Nezhaarchaeia;Candidatus Nezhaarchaeales
1968909	Archaea	Candidatus Nitrosocaldales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Candidatus Nitrosocaldales
3402835	Archaea	Candidatus Nitrosomirales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Candidatus Nitrosomirales
3036986	Archaea	Candidatus Njordarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Njordarchaeota;Candidatus Njordarchaeia;Candidatus Njordarchaeales
2885738	Archaea	Candidatus Norongarragalinales	cellular organisms;Archaea;Nanobdellati;Microcaldota;Candidatus Micrarchaeia;Candidatus Norongarragalinales
3067284	Archaea	Candidatus Odinarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Odinarchaeota;Candidatus Odinarchaeia;Candidatus Odinarchaeales
133814	Archaea	Candidatus Poseidoniales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Poseidoniia;Candidatus Poseidoniales
2953875	Archaea	Candidatus Proteinoplasmatales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanobacteriota incertae sedis;Candidatus Proteinoplasmatales
3691942	Archaea	Candidatus Ranarchaeales	cellular organisms;Archaea;Promethearchaeati;Promethearchaeati incertae sedis;Candidatus Ranarchaeia;Candidatus Ranarchaeales
2949322	Archaea	Candidatus Sifarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Sifarchaeota;Candidatus Sifarchaeia;Candidatus Sifarchaeales
3036980	Archaea	Candidatus Sigynarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Sigynarchaeota;Candidatus Sigynarchaeia;Candidatus Sigynarchaeales
3568216	Archaea	Candidatus Syntropharchaeales	cellular organisms;Archaea;Methanobacteriati;Halobacteriota;Candidatus Syntropharchaeia;Candidatus Syntropharchaeales
2888735	Archaea	Candidatus Sysuiplasmatales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Candidatus Sysuiplasmatales
347538	Archaea	Candidatus Thermoprofundales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Candidatus Thermoprofundales
3444718	Archaea	Candidatus Thorarchaeles (nom. nud.)	cellular organisms;Archaea;Promethearchaeati;Candidatus Thorarchaeota;Candidatus Thorarchaeles (nom. nud.)
2885753	Archaea	Candidatus Tiddalikarchaeales	cellular organisms;Archaea;Nanobdellati;Nanobdellota;Candidatus Nanoarchaeia;Candidatus Tiddalikarchaeales
2821824	Archaea	Candidatus Undinarchaeales	cellular organisms;Archaea;Nanobdellati;Candidatus Undinarchaeota;Candidatus Undinarchaeia;Candidatus Undinarchaeales
3422295	Archaea	Candidatus Wenzhongarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Heimdallarchaeota;Candidatus Heimdallarchaeia (ex Rinke et al. 2021) (nom. nud.);Candidatus Wenzhongarchaeales
2798918	Archaea	Candidatus Wukongarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Wukongarchaeota;Candidatus Wukongarchaeia;Candidatus Wukongarchaeales
3422294	Archaea	Candidatus Yangjianarchaeales	cellular organisms;Archaea;Promethearchaeati;Candidatus Odinarchaeota;Candidatus Odinarchaeia;Candidatus Yangjianarchaeales
2935804	Archaea	Candidatus Yaplasmales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Candidatus Yaplasmales
2798275	Archaea	Conexivisphaerales	cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Conexivisphaeria;Conexivisphaerales
114380	Archaea	Desulfurococcales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Desulfurococcales
685948	Archaea	Fervidicoccales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Thermoprotei;Fervidicoccales
2235	Archaea	Halobacteriales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halobacteriales
3035921	Archaea	Halorutilales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Halobacteria;Halorutilales
2158	Archaea	Methanobacteriales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanobacteria;Methanobacteriales
570264	Archaea	Methanocellales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanocellales
2182	Archaea	Methanococcales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanococci;Methanococcales
1235850	Archaea	Methanomassiliicoccales	cellular organisms;Archaea;Methanobacteriati;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales
2191	Archaea	Methanomicrobiales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales
2202723	Archaea	Methanonatronarchaeales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanonatronarchaeia;Methanonatronarchaeales
68985	Archaea	Methanopyrales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanopyri;Methanopyrales
94695	Archaea	Methanosarcinales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanosarcinales
3415499	Archaea	Methanosuratincolales	cellular organisms;Archaea;Thermoproteati;Thermoproteota;Methanosuratincolia;Methanosuratincolales
2905377	Archaea	Methanotrichales	cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanotrichales
3108007	Archaea	Microcaldales	cellular organisms;Archaea;Nanobdellati;Microcaldota;Microcaldia;Microcaldales
1890940	Archaea	Nanoarchaeales	cellular organisms;Archaea;Nanobdellati;Nanobdellota;Candidatus Nanoarchaeia;Nanoarchaeales
2974822	Archaea	Nanobdellales	cellular organisms;Archaea;Nanobdellati;Nanobdellota;Nanobdellia;Nanobdellales
